iter	Passed	Remaining
0	55	5488
1	64	3171
2	72	2352
3	84	2028
4	161	3062
5	218	3426
6	390	5193
7	410	4723
8	579	5859
9	748	6739
10	921	7458
11	1074	7878
12	1248	8357
13	1421	8735
14	1594	9034
15	1767	9281
16	1940	9474
17	2112	9623
18	2283	9733
19	2454	9817
20	2626	9880
21	2803	9941
22	2973	9954
23	3143	9953
24	3313	9941
25	3488	9929
26	3660	9897
27	3831	9852
28	4003	9801
29	4175	9742
30	4344	9671
31	4518	9601
32	4696	9535
33	4867	9447
34	5036	9353
35	5208	9259
36	5379	9159
37	5550	9055
38	5720	8947
39	5891	8837
40	6063	8725
41	6234	8609
42	6405	8491
43	6575	8369
44	6744	8242
45	6917	8121
46	7089	7994
47	7269	7874
48	7439	7743
49	7612	7612
50	7793	7487
51	7963	7351
52	8134	7213
53	8302	7072
54	8475	6934
55	8648	6795
56	8815	6650
57	8984	6506
58	9152	6360
59	9322	6215
60	9493	6069
61	9664	5923
62	9832	5774
63	10004	5627
64	10192	5488
65	10364	5339
66	10531	5187
67	10697	5033
68	10873	4885
69	11041	4731
70	11209	4578
71	11379	4425
72	11553	4273
73	11722	4118
74	11894	3964
75	12063	3809
76	12231	3653
77	12399	3497
78	12566	3340
79	12741	3185
80	12909	3028
81	13081	2871
82	13249	2713
83	13418	2555
84	13584	2397
85	13753	2239
86	13921	2080
87	14088	1921
88	14256	1762
89	14423	1602
90	14592	1443
91	14758	1283
92	14925	1123
93	15093	963
94	15260	803
95	15429	642
96	15597	482
97	15771	321
98	15938	160
99	16113	0
